# account,total,base,early,referral,loyalty,guaranteed
15VneBDiHwNCRML95V2cfyy7Hp7EZ1u2GsHa1aMiwrwL8SFC,83.4375,62.5,12.5,8.4375,0,0
14jKenmoqsEHMX1Q2qsExnC57En4C3FDAJvxDBhQAF4Qs2JZ,30.0,25.0,5.0,0,0,0
15678impoNMM1YxnWpbxXXVXZBCYfEugRWw4nCUt4UX6uZLb,15.6,13.0,2.6,0,0,0
16f3AfdiPcKD8mx9LCTsNsHfd82hGRTadsH6tthW6jpEwoJ,163.75,125.0,25.0,6.25,7.5,0
1469r4NuPagCLnvaGDLPXKvHEAgMaxw43CEnAPjLSFSX8STi,15.659999999999998,13.049999999999999,2.61,0,0,0
12Bgos4yZsuvgUHSybjiYE7Q7PHUMxJ4pzmnPjZHCyEzwmwY,62.5,50.0,10.0,2.5,0,0
124Kc8nkAYkafebpMuNrrpgt6vR6bdAbkcV1LVYvbSGC1gCM,40.625,32.5,6.5,1.625,0,0
13jKNx2E9Au3Lf44jZLMo1qNWkZkr3WRCpZcSzNm9LyJVqre,31.25,25.0,5.0,1.25,0,0
126rMTrzyTkQsWhQdCN5We1YUCofnB9AuBmjM2ZmbG3NzosA,15.0,12.5,2.5,0,0,0
1QdgHjAnG62fYgqgW5pHVNuG7YRPpmAyHrbgb97uXsDLBM7,15.625,12.5,2.5,0.625,0,0
1nHmyreLbmskGGYKezgHYy4wnGWs3XjxXWntccjHD9bc5iS,163.75,125.0,25.0,6.25,7.5,0
121EZfz1oyEvcTKVXusCqZWhyFuQ13x8BuRSna6kmfmKioBm,26.5625,21.25,4.25,1.0625,0,0
13EFG9uJWD9gii6Nz4Kx83dwYCUdbQWNUyBm8SpLe72X6vWz,30.0,25.0,5.0,0,0,0
16cJX9GwrGRwx95MRy3bjMH3zqX9Cg44RW7zuysnRdYtkeND,45.0,37.5,7.5,0,0,0
139J8ivciiBNy4aNMUGcp1p7jMbcFNH4x4dXpWe8qZ9JYfcf,315.0,250.0,50.0,0,15.0,0
149CbtDL9FXgUVr8nykvTfYKsMDBjnvZV634HoJdGgm4gYDR,241.875,193.5,38.7,9.675,0,0
14cwCkN5S2MuHR22pA171BUmjPMtQw7ugvJWeG8maBAWJFLE,62.5,50.0,10.0,2.5,0,0
16ArdZTEkh56UjhteRwBJ1gq8oD2LKrD2tBsZ17EdhGHDpm1,157.5,125.0,25.0,0,7.5,0
1s7H7aXkFVcWp7EG9QYT1FsjJXzsrHTgPy78i2FxZG6CBRr,32.75,25.0,5.0,1.25,1.5,0
13wTdpSLnRiF2aKg7SA5FU2gGGACnz8sKZa3u8M17rJw1DRx,39.0625,31.25,6.25,1.5625,0,0
16AL66bYWJGVr4nnbnjgXybvFACytVT5zoLGjuB6Bcki7qjS,19.65,15.0,3.0,0.75,0.8999999999999999,0
13MW37zk8abXu7N1M4p7dgjaqSHZkCLDi1VRKpa1TKsaqjHV,36.0,30.0,6.0,0,0,0
158qLnSU8Qx5yekvaRzKihbDYeV6goqbyET65RrvFG2PmjyS,62.5,50.0,10.0,2.5,0,0
13Xxik6pGUps7zhU81PETTF7miFoyWyYAZ2q23WMrTE6SVSs,15.0,12.5,2.5,0,0,0
16B52Vt6sr9z1EHP7LGkrXMqCsdFmydM3dmRmiNFgocfgGT8,66.4525,50.25,10.05,3.1375,3.015,0
1sKw6eGSB4pbMVzAbLgZHi2dYcNN75uSQ3fUUUcuNeHJT7o,218.75,175.0,35.0,8.75,0,0
1R2BAuQHYvkpYSmaaH8X2p4Xcjvr9sT1CaeN17x7EK6VY4A,28.25,12.5,2.5,13.25,0,0
12uK3huhme5bguqQH9ARxoRxBXxfAW5DBiHa2RxABZ2ZgBw9,15.625,12.5,2.5,0.625,0,0
14QD9ciVLStAUH5BU6ELDU2ARq3TLiDVrvLHnpJyM7kmCXDL,15.0,12.5,2.5,0,0,0
14GRU9kg6s5ijJh8KWAWvUBgedy2jea5SpzqBeR4k3aDQsiG,131.0,100.0,20.0,5.0,6.0,0
16kRN2yE1vcGE18AmJ3E7Y46K2Mu1zL5QoDvYENdyDRAqGB3,15.0,12.5,2.5,0,0,0
14kvkjUi6wQ9hEcowMr1Sm1XmbeddsBdsUhPxZ7ThMXDR6px,66.0,55.0,11.0,0,0,0
15gDhzbmPWoj3sSezD2EyGVRspnryaVxbFoMFmF9PZLVGtzW,62.5,50.0,10.0,2.5,0,0
13fzXMxMmjriujwcMvYE3LK9GFZxJxvc6N1yRgBgigUmHTtM,32.5,25.0,5.0,2.5,0,0
1Yd8gBSCM2DUBV7wv7t4SqJ7UND1fwEPFyHvf9ZB32WXwwC,62.5,50.0,10.0,2.5,0,0
13pkdUPGAxhCcnLyKV3dpkxa3MANuwd1hFkfsXcFDfeHpzEF,30.0,25.0,5.0,0,0,0
13BYKhNjSU5monPvyeXSTWSRWsjnS5DzbyufRPLNXnZf84zv,46.875,37.5,7.5,1.875,0,0
15KGvt1XCHWr3b4iCZnL2n378FwPh11u5NiEEcytoXJtNvB1,15.0,12.5,2.5,0,0,0
15fU7EYsfER6P3K2oNhcaLPwMxR1AgyHmsZsDJmpvmzoZzm6,32.75,25.0,5.0,1.25,1.5,0
1431UH1BuyiUzGo3Rz9FT5G53nBdL6Y4DuwpoCU1CDwL5EY2,343.75,275.0,55.0,13.75,0,0
15ijxGiGHif4qyvgjpU1JENYCdBJCc6qzxso2uhAs2XycPeq,15.0,12.5,2.5,0,0,0
12bRF3XiBTpyp8FZX5Tv6V7BY58W3gdHVFJ95CwcKUGoWjsm,121.25,100.0,20.0,1.25,0,0
16Xh19VbxUP6Mc9ib57QNEX9dnEaycgGduyP8UU89twyCP1s,31.25,25.0,5.0,1.25,0,0
15mFBofVkJXLGyHtTLBrEsMvxPMsEgw8sn5PW3CUg6PPsHKM,15.0,12.5,2.5,0,0,0
16aqETB3APqL5D8itUDCuzm8uu2iUDABNXU7AyZ4niH11UsT,312.5,250.0,50.0,12.5,0,0
148onmXfSLp4kRDernYDKXHqo7eRpCs8SiNYz49ZtWkPnNNr,78.125,62.5,12.5,3.125,0,0
13sJVHNbGa9t1b5H4L25p84y2Dz2GbmZ8k8fFky1hTXMbcbi,937.5,750.0,150.0,37.5,0,0
1pmnMmUjFEPGejNeMay6zbpEPanVehSUR6WrTyjnViZHtsh,17.9375,12.5,2.5,2.1875,0.75,0
14r9aGJfZTWVFB35MeDywabdaUGZK4y4HkeAV2qQVH17M5A9,65.5,50.0,10.0,2.5,3.0,0
11ayR6MtJrZxa3jEf6M3Urfe2keVvBTYkSMzRX4sZHFkdyZ,318.75,255.0,51.0,12.75,0,0
13eA1ajzEfspkDUtJxgPVSJw8RcmH7p4Uq82vqe3RriDtex2,48.75,37.5,7.5,3.75,0,0
